id,file,reportedtime,occurrencetype,occurrencetypeid,crimetype,crimetypeid,crimecategory,crimecategoryid,location,locationid,neighbourhood,neighbourhoodid,lat,long
4201201511628,2015-11628,5/3/2015 3:57:00 PM,Mischief Under $5000,2170-04,Mischief,2,Property Crime,1,51XX DUNSTER RD,27509,Pleasant Valley,20,49.213716,-124.03412
4201201510329,2015-10329,4/20/2015 10:55:00 AM,Mischief Under $5000,2170-04,Mischief,2,Property Crime,1,51XX DUNSTER RD,27509,Pleasant Valley,20,49.213716,-124.03412
4201201517473,2015-17473,6/23/2015 10:51:00 PM,Mischief Under $5000,2170-04,Mischief,2,Property Crime,1,XX WHITE EAGLE TERR,27525,Departure Bay,3,49.193591,-123.959159
4201201516649,2015-16649,6/16/2015 11:00:00 PM,Mischief Under $5000,2170-04,Mischief,2,Property Crime,1,XX WHITE EAGLE TERR,27525,Departure Bay,3,49.193591,-123.959159
420120156289,2015-6289,2/20/2015 12:33:00 PM,Mischief Under $5000,2170-04,Mischief,2,Property Crime,1,35XX CASTLE ROCK DR,27536,Pleasant Valley,20,49.201092,-124.037848
420120159844,2015-9844,4/15/2015 5:56:00 PM,Mischief Under $5000,2170-04,Mischief,2,Property Crime,1,53XX COLINWOOD DR,27540,Pleasant Valley,20,49.215332,-124.045348
4201201512284,2015-12284,5/9/2015 5:15:00 PM,Mischief Under $5000,2170-04,Mischief,2,Property Crime,1,21XX BOXWOOD RD,27565,Northfield,5,49.188727,-123.99662
4201201512117,2015-12117,5/8/2015 10:02:00 AM,Mischief Under $5000,2170-04,Mischief,2,Property Crime,1,61XX AVERY LANE,27591,Rutherford,12,49.23375,-124.032741
4201201512510,2015-12510,5/11/2015 10:59:00 PM,Mischief Under $5000,2170-04,Mischief,2,Property Crime,1,13XX STEWART AVE,27607,Newcastle/brechin,16,49.183345,-123.947091
4201201517335,2015-17335,6/21/2015 7:00:00 PM,Mischief Under $5000,2170-04,Mischief,2,Property Crime,1,16XX CASPERS WAY,27610,Northfield,5,49.17784,-123.977153
4201201517197,2015-17197,6/21/2015 5:27:00 PM,Mischief Under $5000,2170-04,Mischief,2,Property Crime,1,16XX CASPERS WAY,27610,Northfield,5,49.17784,-123.977153
420120158851,2015-8851,4/4/2015 9:00:00 PM,Mischief Under $5000,2170-04,Mischief,2,Property Crime,1,1XX DAVIES LANE,27614,Northfield,5,49.190035,-123.977054
420120157756,2015-7756,3/25/2015 9:26:00 AM,Mischief Under $5000,2170-04,Mischief,2,Property Crime,1,21XX LABIEUX RD,27621,Northfield,5,49.201384,-123.996572
